url,title,company,city,publish_date,salary_text,exp_text,edu_text
https://www.liepin.com/a/72306981.shtml,底软嵌入式主管 mcu方向,某西安电子/半导体/集成电路上市公司,西安,,20-30k·14薪,5-10年,本科
https://www.liepin.com/a/72306473.shtml,充电桩 嵌入式软件,某杭州知名公司,杭州,,20-40k,3-5年,本科
https://www.liepin.com/a/72306103.shtml,嵌入式软件工程师,某上海大型整车制造公司,上海,,25-35k,3-5年,本科
https://www.liepin.com/a/72304385.shtml,嵌入式软件开发架构师（穿戴类/音视频类设备方向）,某深圳IT服务公司,南山区,,40-60k·14薪,5-10年,学历不限
https://www.liepin.com/a/72302095.shtml,嵌入式软件工程师,某知名上市公司,深圳,,45-70k,1-3年,本科
https://www.liepin.com/a/72300793.shtml,嵌入式软件开发,某武汉汽车零部件及配件上市公司,天津,,30-45k,3-5年,学历不限
https://www.liepin.com/a/72300099.shtml,嵌入式软件开发,某武汉汽车零部件及配件上市公司,上海,,29-35k·13薪,3-5年,本科
https://www.liepin.com/a/72298777.shtml,嵌入式工程师,某成都工程施工公司,成都,,12-20k,3-5年,本科
https://www.liepin.com/a/72297781.shtml,嵌入式软件工程师,某成都航空/航天设备公司,成都,,14-15k,经验不限,本科
https://www.liepin.com/a/72297329.shtml,高级嵌入式工程师（安全计算机平台方向）,某知名公司,深圳,,40-70k·15薪,3-5年,硕士
https://www.liepin.com/a/72296287.shtml,嵌入式软件研发工程师,某国内科技推广服务公司,杭州,,12-20k,3-5年,本科
https://www.liepin.com/a/72294281.shtml,高级嵌入式软件工程师（经理级）,某知名汽车零部件及配件公司,郑州,,20-30k,8年以上,本科
https://www.liepin.com/a/72294223.shtml,嵌入式（消费电子、具身、机器人、无人机、储能等都有需求；负责人、架构师、专家都要）,某长沙通信设备上市公司,深圳,,30-60k·20薪,经验不限,学历不限
https://www.liepin.com/a/72291697.shtml,嵌入式软件linux（机器人独角兽 年终丰厚）,某深圳人工智能公司,深圳,,30-50k·16薪,3-5年,学历不限
